map_date,island,site,tag_num,species,multitrunk,dbh,leaning,dbh_canopy_meas,canopy_N-S,canopy_E-W,crown_meas_dt,who,total_dbh_multisum,total_dbh_multiavg,total_dbh_multilgst,canopy_radius,change in dbh
23-Oct-09,saipan,forbs,2907,eugenia,yes,28 + 11 + 24 + 28,n,30+24+31+14,3.63,1.33,29-Apr-11,MC_JD,99,24.75,31,1.24,#VALUE!
11/4/09,saipan,ladt,7385,eugenia,yes,32 + 16 + 32 + 1 < 10,n,31+30,1.57,2,19-May-11,MC_JD,61,30.5,31,0.8925,#VALUE!
3-Aug-09,saipan,forbs,2017,maytenus,yes,32+50+43+29,n,36+48+46+32,5.48,3.58,29-Apr-11,MC_JD,162,40.5,48,2.265,#VALUE!
missing,saipan,ladt,2900,premna,yes,433 + 382,n,380+434,8.48,NA,19-May-11,MC_JD,814,407,434,4.24,#VALUE!
25-Sep-09,guam,sblas ,3023,premna,yes,355 + 70,n,394+80,5.77,4.94,14-Jul-11,jonnie-annette,474,237,394,2.6775,#VALUE!
9-Oct,guam,nblas,1204,maytenus,yes,30+20+29+18+25+25,n,45+16+24+29,2.14,2.75,15-Jul-11,jd-ap-mg,114,28.5,45,1.2225,#VALUE!
25-Nov-09,saipan,mtr1,8575,psychotria,yes,43,n,46+41,1.95,2.82,19-May-11,MC_JD,87,43.5,46,1.1925,#VALUE!
11/13/09,saipan,mtr1,7977,melano,yes,41,y,50+29,1.73,1.83,19-May-11,MC_JD,79,39.5,50,0.89,#VALUE!
missing,saipan,ladt,2769,maytenus,yes,48 + 23 + 12 + 18 + 24 + 24,n,52+28+33+30+14+13,3.86,3.95,19-May-11,MC_JD,170,28.33333333,52,1.9525,#VALUE!
28-Sep-09,guam,sblas ,3102,maytenus,yes,52+38,y,52+39,3.86,4.26,14-Jul-11,jonnie-annette,91,45.5,52,2.03,#VALUE!
31-Aug-09,saipan,ladt,2320,maytenus,yes,53 + 49 + 79 + 84,n,54+32+56+52,4.75,3.53,19-May-11,MC_JD,194,48.5,56,2.07,#VALUE!
29-Sep-09,guam,sblas ,3140,psychotria,yes,53 + 50,y,55+52,2.51,2.12,14-Jul-11,jonnie-annette,107,53.5,55,1.1575,#VALUE!
20-Nov-09,saipan,mtr1,8436,maytenus,yes,53 + 28 + 47 + 28 + 45 + 26 + 48 + 59,n,55+53+31+52+63+55+27,5.83,6.37,19-May-11,MC_JD,336,48,63,3.05,#VALUE!
10/8/09,guam,nblas,3933,eugenia,yes,20 + 20 + 68 + 22 + 24,n,57+20+30,6.49,2.63,15-Jul-11,jd-ap-mg,107,35.66666667,57,2.28,#VALUE!
1-Oct-09,guam,sblas ,3401,maytenus,yes,65 + 53,n,60+56,4.81,3.79,14-Jul-11,jonnie-annette,116,58,60,2.15,#VALUE!
20-Nov-09,saipan,mtr1,8468,guamia,yes,60+51+58,n,61+52+59,3.81,4.93,19-May-11,MC_JD,172,57.33333333,61,2.185,#VALUE!
18-Nov-09,saipan,mtr1,8229,maytenus,yes,1<10+60+55+16+15+41+19+22+19+10+18,n,68+44+61+20+19+21+28+22+14+15+16,3.24,4.61,19-May-11,MC_JD,328,29.81818182,68,1.9625,#VALUE!
22-Sep-09,guam,sblas ,840,maytenus,yes,58 + 46 + 35,n,74+47+42,5.06,5.64,14-Jul-11,jonnie-annette,163,54.33333333,74,2.675,#VALUE!
10/8/09,guam,nblas,3912,aglaia,yes,78 + 63,n,76+66,4.33,3.53,15-Jul-11,jd-ap-mg,142,71,76,1.965,#VALUE!
10/26/09,saipan,forbs,2999,maytenus,yes,77 + 74 + 33 + 58 + 78 + 53 + 53 + 62,n,80+58+39+77+79+57+61,5.45,4.5,29-Apr-11,MC_JD,451,64.42857143,80,2.4875,#VALUE!
missing,saipan,ladt,2710,aidia,yes,83 + 40 + 61,n,83+45+33+64,3.23,4.13,19-May-11,MC_JD,225,56.25,83,1.84,#VALUE!
4-Aug,guam,nblas,251,guamia,yes,58+182+173,n,83+83+193,3.57,5.72,15-Jul-11,jd-ap-mg,359,119.6666667,193,2.3225,#VALUE!
10/5/09,guam,nblas,3669,guamia,yes,81 + 40,n,84+40,3.27,3.98,15-Jul-11,jd-ap-mg,124,62,84,1.8125,#VALUE!
22-Sep-09,guam,sblas ,941,psychotria,yes,95 + 48,n,95+47,0.58,1.28,14-Jul-11,jonnie-annette,142,71,95,0.465,#VALUE!
10/23/09,saipan,forbs,2923,premna,yes,87 + 70,n,97+72,3.26,4.5,29-Apr-11,MC_JD,169,84.5,97,1.94,#VALUE!
